"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9038","should display dashboard correctly for user role","firefox","Thu Feb 27 13:19:21 UTC 2025","passed","Thu Feb 27 13:19:30 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","9313","verify dashboard cards contain numeric values","firefox","Thu Feb 27 13:17:38 UTC 2025","passed","Thu Feb 27 13:17:47 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","11238","should verify main and sub headings","firefox","Thu Feb 27 13:18:30 UTC 2025","passed","Thu Feb 27 13:18:41 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","3513","should show validation messages for empty form","chromium","Thu Feb 27 13:17:18 UTC 2025","passed","Thu Feb 27 13:17:22 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","5782","should verify search of agents","webkit","Thu Feb 27 13:20:32 UTC 2025","passed","Thu Feb 27 13:20:38 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","4944","should login successfully with valid user credentials","webkit","Thu Feb 27 13:21:00 UTC 2025","passed","Thu Feb 27 13:21:05 UTC 2025","Login Tests","tests/validLogin.spec.ts","",""
"","6792","search and filter agents","firefox","Thu Feb 27 13:17:56 UTC 2025","passed","Thu Feb 27 13:18:02 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","10229","search and filter properties","webkit","Thu Feb 27 13:19:45 UTC 2025","passed","Thu Feb 27 13:19:55 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","5559","verify empty message validation","chromium","Thu Feb 27 13:16:52 UTC 2025","passed","Thu Feb 27 13:16:57 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","8644","verify dashboard cards contain numeric values","webkit","Thu Feb 27 13:19:44 UTC 2025","passed","Thu Feb 27 13:19:53 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","5430","delete agent","webkit","Thu Feb 27 13:20:04 UTC 2025","passed","Thu Feb 27 13:20:09 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","7751","delete user","chromium","Thu Feb 27 13:16:32 UTC 2025","passed","Thu Feb 27 13:16:39 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","5143","should show error with invalid credentials","webkit","Thu Feb 27 13:20:37 UTC 2025","passed","Thu Feb 27 13:20:42 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","0","should not allow registration with existing email","chromium","Thu Feb 27 13:17:22 UTC 2025","skipped","Thu Feb 27 13:17:22 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","5907","should show validation messages for empty form","firefox","Thu Feb 27 13:19:10 UTC 2025","passed","Thu Feb 27 13:19:16 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","2566","should verify main and sub headings","webkit","Thu Feb 27 13:20:22 UTC 2025","passed","Thu Feb 27 13:20:25 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","7385","should show validation message when passwords do not match","firefox","Thu Feb 27 13:19:13 UTC 2025","passed","Thu Feb 27 13:19:21 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","3292","should show error with empty form submission","webkit","Thu Feb 27 13:20:38 UTC 2025","passed","Thu Feb 27 13:20:41 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","5571","verify empty property validation","webkit","Thu Feb 27 13:20:10 UTC 2025","passed","Thu Feb 27 13:20:15 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","10236","verify property deletion bug","firefox","Thu Feb 27 13:17:40 UTC 2025","passed","Thu Feb 27 13:17:50 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","3502","should verify search of agents","chromium","Thu Feb 27 13:17:04 UTC 2025","passed","Thu Feb 27 13:17:08 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","7800","delete user","webkit","Thu Feb 27 13:19:56 UTC 2025","passed","Thu Feb 27 13:20:04 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","4627","display dashboard correctly for agent role","chromium","Thu Feb 27 13:16:41 UTC 2025","passed","Thu Feb 27 13:16:46 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","8910","verify empty property validation","firefox","Thu Feb 27 13:18:11 UTC 2025","passed","Thu Feb 27 13:18:20 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","0","should not allow registration with existing email","webkit","Thu Feb 27 13:20:50 UTC 2025","skipped","Thu Feb 27 13:20:50 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","4575","should ensure UI elements are clickable and lead to correct pages","chromium","Thu Feb 27 13:17:00 UTC 2025","passed","Thu Feb 27 13:17:04 UTC 2025","Home Page Tests","tests/home.spec.ts","",""
"","8631","should validate password requirements","firefox","Thu Feb 27 13:19:16 UTC 2025","passed","Thu Feb 27 13:19:24 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","6667","should show error when only email is entered","firefox","Thu Feb 27 13:18:57 UTC 2025","passed","Thu Feb 27 13:19:04 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","9106","delete agent","firefox","Thu Feb 27 13:18:01 UTC 2025","passed","Thu Feb 27 13:18:10 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","5287","display dashboard correctly for agent role","webkit","Thu Feb 27 13:20:05 UTC 2025","passed","Thu Feb 27 13:20:10 UTC 2025","Agent Dashboard Tests","tests/agent.spec.ts","",""
"","4749","search and filter agents","webkit","Thu Feb 27 13:20:00 UTC 2025","passed","Thu Feb 27 13:20:05 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
"","10170","should verify login after registration","firefox","Thu Feb 27 13:19:16 UTC 2025","passed","Thu Feb 27 13:19:26 UTC 2025","Registration Tests","tests/registration.spec.ts","",""
"","5093","should show error with invalid credentials","chromium","Thu Feb 27 13:17:08 UTC 2025","passed","Thu Feb 27 13:17:13 UTC 2025","Invalid Login Tests","tests/invalidLogin.spec.ts","",""
"","9002","should update profile settings, logout and verify new credentials","webkit","Thu Feb 27 13:20:57 UTC 2025","passed","Thu Feb 27 13:21:06 UTC 2025","Test User Dashboard Tests","tests/testUser.spec.ts","",""
"","10546","delete user","firefox","Thu Feb 27 13:17:51 UTC 2025","passed","Thu Feb 27 13:18:02 UTC 2025","Admin Dashboard Tests","tests/admin.spec.ts","",""
